# CPC Equatorial Upper 300m temperature Average anomaly based on 1981-2010 Climatology, 130E-80W
# Source <a href="">CPC/NCEP</a>
# heat300 [K] temperature averaged to 300m
1979    1      .56  
1979    2      .83  
1979    3      .38  
1979    4      .01  
1979    5      .17  
1979    6      .24  
1979    7      .14  
1979    8      .34  
1979    9      .71  
1979   10      .63  
1979   11      .66  
1979   12      .77  
1980    1      .58  
1980    2      .48  
1980    3      .46  
1980    4      .51  
1980    5      .63  
1980    6      .75  
1980    7      .21  
1980    8      .14  
1980    9      .05  
1980   10      .18  
1980   11      .41  
1980   12      .46  
1981    1      .33  
1981    2      .26  
1981    3      .64  
1981    4      .53  
1981    5      .23  
1981    6     -.11  
1981    7     -.38  
1981    8     -.29  
1981    9      .18  
1981   10      .26  
1981   11      .09  
1981   12      .10  
1982    1      .33  
1982    2      .59  
1982    3      .74  
1982    4      .69  
1982    5      .72  
1982    6      .76  
1982    7      .79  
1982    8     1.04  
1982    9     1.15  
1982   10     1.33  
1982   11     1.20  
1982   12      .80  
1983    1     -.10  
1983    2     -.66  
1983    3     -.94  
1983    4     -.12  
1983    5     -.36  
1983    6     -.79  
1983    7    -1.07  
1983    8    -1.23  
1983    9    -1.54  
1983   10    -1.63  
1983   11    -1.36  
1983   12     -.96  
1984    1     -.70  
1984    2     -.61  
1984    3     -.48  
1984    4     -.42  
1984    5     -.63  
1984    6     -.63  
1984    7     -.16  
1984    8     -.12  
1984    9     -.19  
1984   10     -.56  
1984   11     -.37  
1984   12     -.21  
1985    1      .02  
1985    2     -.23  
1985    3     -.34  
1985    4     -.06  
1985    5      .19  
1985    6      .15  
1985    7      .06  
1985    8      .18  
1985    9      .07  
1985   10     -.05  
1985   11      .11  
1985   12      .24  
1986    1      .25  
1986    2      .45  
1986    3      .37  
1986    4      .14  
1986    5      .42  
1986    6      .53  
1986    7      .44  
1986    8      .30  
1986    9      .45  
1986   10      .60  
1986   11      .38  
1986   12      .59  
1987    1      .54  
1987    2      .15  
1987    3      .18  
1987    4      .00  
1987    5      .13  
1987    6     -.09  
1987    7     -.42  
1987    8     -.28  
1987    9     -.47  
1987   10     -.43  
1987   11     -.51  
1987   12     -.52  
1988    1     -.47  
1988    2     -.77  
1988    3     -.94  
1988    4    -1.10  
1988    5    -1.00  
1988    6     -.80  
1988    7     -.52  
1988    8     -.40  
1988    9     -.59  
1988   10    -1.05  
1988   11     -.99  
1988   12     -.80  
1989    1     -.34  
1989    2      .17  
1989    3      .52  
1989    4      .55  
1989    5      .62  
1989    6      .70  
1989    7      .63  
1989    8      .37  
1989    9      .36  
1989   10      .11  
1989   11      .04  
1989   12      .46  
1990    1      .63  
1990    2      .86  
1990    3      .68  
1990    4      .37  
1990    5      .10  
1990    6     -.05  
1990    7      .22  
1990    8      .38  
1990    9      .27  
1990   10      .35  
1990   11      .34  
1990   12      .51  
1991    1      .51  
1991    2      .29  
1991    3      .20  
1991    4      .36  
1991    5      .58  
1991    6      .51  
1991    7      .53  
1991    8      .35  
1991    9      .38  
1991   10      .77  
1991   11      .76  
1991   12      .85  
1992    1      .83  
1992    2      .94  
1992    3      .25  
1992    4     -.19  
1992    5     -.69  
1992    6    -1.04  
1992    7     -.89  
1992    8     -.78  
1992    9     -.68  
1992   10     -.56  
1992   11     -.42  
1992   12     -.24  
1993    1     -.18  
1993    2     -.05  
1993    3      .08  
1993    4      .23  
1993    5      .00  
1993    6     -.47  
1993    7     -.66  
1993    8     -.58  
1993    9     -.29  
1993   10     -.23  
1993   11     -.24  
1993   12     -.36  
1994    1     -.53  
1994    2     -.53  
1994    3     -.45  
1994    4     -.22  
1994    5      .04  
1994    6      .04  
1994    7      .03  
1994    8      .28  
1994    9      .31  
1994   10      .50  
1994   11      .67  
1994   12      .39  
1995    1      .09  
1995    2     -.17  
1995    3     -.47  
1995    4     -.52  
1995    5     -.46  
1995    6     -.27  
1995    7     -.23  
1995    8     -.40  
1995    9     -.53  
1995   10     -.46  
1995   11     -.44  
1995   12     -.31  
1996    1      .04  
1996    2      .13  
1996    3      .21  
1996    4      .17  
1996    5      .12  
1996    6      .14  
1996    7      .00  
1996    8      .04  
1996    9     -.02  
1996   10     -.07  
1996   11     -.10  
1996   12      .08  
1997    1      .54  
1997    2      .84  
1997    3     1.09  
1997    4     1.49  
1997    5     1.38  
1997    6     1.55  
1997    7     1.34  
1997    8     1.07  
1997    9     1.25  
1997   10     1.35  
1997   11     1.19  
1997   12      .56  
1998    1     -.24  
1998    2     -.66  
1998    3     -.76  
1998    4    -1.08  
1998    5    -1.43  
1998    6    -1.68  
1998    7    -1.74  
1998    8    -1.68  
1998    9    -1.44  
1998   10    -1.55  
1998   11    -1.53  
1998   12    -1.34  
1999    1    -1.16  
1999    2     -.93  
1999    3     -.54  
1999    4     -.42  
1999    5     -.29  
1999    6     -.15  
1999    7     -.31  
1999    8     -.56  
1999    9     -.52  
1999   10     -.50  
1999   11     -.72  
1999   12     -.77  
2000    1     -.50  
2000    2     -.26  
2000    3     -.04  
2000    4      .22  
2000    5      .34  
2000    6      .34  
2000    7      .25  
2000    8      .14  
2000    9      .08  
2000   10     -.11  
2000   11     -.30  
2000   12     -.36  
2001    1     -.07  
2001    2     -.04  
2001    3      .22  
2001    4      .42  
2001    5      .27  
2001    6      .33  
2001    7      .43  
2001    8      .09  
2001    9      .22  
2001   10      .17  
2001   11      .18  
2001   12      .22  
2002    1      .49  
2002    2      .51  
2002    3      .45  
2002    4      .23  
2002    5      .10  
2002    6      .43  
2002    7      .53  
2002    8      .70  
2002    9      .93  
2002   10     1.04  
2002   11      .78  
2002   12      .26  
2003    1     -.10  
2003    2     -.34  
2003    3     -.29  
2003    4     -.44  
2003    5     -.60  
2003    6      .08  
2003    7      .45  
2003    8      .24  
2003    9      .28  
2003   10      .42  
2003   11      .52  
2003   12      .30  
2004    1      .26  
2004    2      .20  
2004    3      .01  
2004    4      .20  
2004    5      .17  
2004    6      .22  
2004    7      .53  
2004    8      .56  
2004    9      .62  
2004   10      .54  
2004   11      .53  
2004   12      .59  
2005    1      .40  
2005    2      .29  
2005    3      .49  
2005    4      .24  
2005    5      .06  
2005    6      .10  
2005    7      .01  
2005    8     -.05  
2005    9     -.02  
2005   10      .01  
2005   11     -.21  
2005   12     -.28  
2006    1     -.28  
2006    2     -.19  
2006    3      .09  
2006    4      .46  
2006    5      .64  
2006    6      .76  
2006    7      .69  
2006    8      .80  
2006    9      .85  
2006   10      .65  
2006   11      .74  
2006   12      .51  
2007    1     -.18  
2007    2     -.48  
2007    3     -.47  
2007    4     -.29  
2007    5     -.23  
2007    6     -.04  
2007    7     -.10  
2007    8     -.16  
2007    9     -.35  
2007   10     -.52  
2007   11     -.54  
2007   12     -.49  
2008    1     -.50  
2008    2     -.30  
2008    3      .21  
2008    4      .48  
2008    5      .60  
2008    6      .65  
2008    7      .50  
2008    8      .17  
2008    9     -.12  
2008   10     -.11  
2008   11     -.37  
2008   12     -.65  
2009    1     -.32  
2009    2      .00  
2009    3      .24  
2009    4      .59  
2009    5      .79  
2009    6     1.01  
2009    7      .93  
2009    8      .72  
2009    9      .64  
2009   10      .70  
2009   11     1.00  
2009   12      .96  
2010    1      .66  
2010    2      .60  
2010    3      .41  
2010    4     -.06  
2010    5     -.66  
2010    6     -.83  
2010    7     -.80  
2010    8     -.88  
2010    9     -.92  
2010   10     -.89  
2010   11     -.76  
2010   12     -.67  
2011    1     -.35  
2011    2      .30  
2011    3      .72  
2011    4      .89  
2011    5      .74  
2011    6      .52  
2011    7      .25  
2011    8     -.07  
2011    9     -.37  
2011   10     -.51  
2011   11     -.36  
2011   12     -.40  
